Vuosi,Kk,Pv,Klo,Aikavyöhyke,Lumensyvyys (cm)
1992,10,7,00:00,UTC,-1
1992,10,8,00:00,UTC,2
1992,10,9,00:00,UTC,12
1992,10,10,00:00,UTC,12
1992,10,11,00:00,UTC,25
1992,10,12,00:00,UTC,25
1992,10,13,00:00,UTC,21
1992,10,14,00:00,UTC,23
1992,10,15,00:00,UTC,22
1992,10,16,00:00,UTC,22
1992,10,17,00:00,UTC,23
1992,10,18,00:00,UTC,20
1992,10,19,00:00,UTC,20
1992,10,20,00:00,UTC,20
1992,10,21,00:00,UTC,19
1992,10,22,00:00,UTC,19
1992,10,23,00:00,UTC,19
1992,10,24,00:00,UTC,19
1992,10,25,00:00,UTC,20
1992,10,26,00:00,UTC,20
1992,10,27,00:00,UTC,22
1992,10,28,00:00,UTC,23
1992,10,29,00:00,UTC,25
1992,10,30,00:00,UTC,26
1992,10,31,00:00,UTC,26
1992,11,1,00:00,UTC,26
1992,11,2,00:00,UTC,27
1992,11,3,00:00,UTC,28
1992,11,4,00:00,UTC,37
1992,11,5,00:00,UTC,36
1992,11,6,00:00,UTC,39
1992,11,7,00:00,UTC,45
1992,11,8,00:00,UTC,45
1992,11,9,00:00,UTC,41
1992,11,10,00:00,UTC,42
1992,11,11,00:00,UTC,42
1992,11,12,00:00,UTC,36
1992,11,13,00:00,UTC,39
1992,11,14,00:00,UTC,40
1992,11,15,00:00,UTC,40
1992,11,16,00:00,UTC,42
1992,11,17,00:00,UTC,43
1992,11,18,00:00,UTC,47
1992,11,19,00:00,UTC,47
1992,11,20,00:00,UTC,45
1992,11,21,00:00,UTC,50
1992,11,22,00:00,UTC,44
1992,11,23,00:00,UTC,44
1992,11,24,00:00,UTC,44
1992,11,25,00:00,UTC,45
1992,11,26,00:00,UTC,46
1992,11,27,00:00,UTC,46
1992,11,28,00:00,UTC,46
1992,11,29,00:00,UTC,46
1992,11,30,00:00,UTC,46
1992,12,1,00:00,UTC,45
1992,12,2,00:00,UTC,42
1992,12,3,00:00,UTC,42
1992,12,4,00:00,UTC,43
1992,12,5,00:00,UTC,43
1992,12,6,00:00,UTC,52
1992,12,7,00:00,UTC,49
1992,12,8,00:00,UTC,50
1992,12,9,00:00,UTC,49
1992,12,10,00:00,UTC,48
1992,12,11,00:00,UTC,51
1992,12,12,00:00,UTC,51
1992,12,13,00:00,UTC,51
1992,12,14,00:00,UTC,51
1992,12,15,00:00,UTC,53
1992,12,16,00:00,UTC,55
1992,12,17,00:00,UTC,54
1992,12,18,00:00,UTC,54
1992,12,19,00:00,UTC,50
1992,12,20,00:00,UTC,50
1992,12,21,00:00,UTC,52
1992,12,22,00:00,UTC,52
1992,12,23,00:00,UTC,52
1992,12,24,00:00,UTC,51
1992,12,25,00:00,UTC,51
1992,12,26,00:00,UTC,51
1992,12,27,00:00,UTC,51
1992,12,28,00:00,UTC,51
1992,12,29,00:00,UTC,52
1992,12,30,00:00,UTC,52
1992,12,31,00:00,UTC,52
1993,1,1,00:00,UTC,52
1993,1,2,00:00,UTC,52
1993,1,3,00:00,UTC,52
1993,1,4,00:00,UTC,51
1993,1,5,00:00,UTC,50
